[02/10/22 17:07:10] HIDS starting.
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File415.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File417.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File420.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File424.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File425.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File43.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File430.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File433.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File436.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File438.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File439.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File44.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File440.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File442.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File443.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File445.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File449.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File45.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File450.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File453.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File455.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File458.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File46.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File460.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File461.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File462.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File464.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File466.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File467.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File468.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File470.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File476.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File478.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File48.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File483.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File486.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File487.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File491.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File492.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File494.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File495.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File496.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File498.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File499.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File5.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File501.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File502.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File506.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File509.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File51.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File510.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File512.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File514.doc ok
[02/10/22 17:07:10] [notice] C:\Users\PauPC\Desktop\HIDS\pyHIDS\ficheros\documentos\File516.doc ok
